,Country,Confirmed,Deaths,Recovered,Active,Lat,Long,Date,WHO Region,Mortality Rate
0,Afghanistan,1936390,49098,798240,1089052,33.93911,67.709953,2020-07-27,Eastern Mediterranean,2.54
1,Albania,196702,5708,118877,72117,41.1533,20.1683,2020-07-27,Europe,2.9
2,Algeria,1179755,77972,755897,345886,28.0339,1.6596,2020-07-27,Africa,6.61
3,Andorra,94404,5423,69074,19907,42.5063,1.5218,2020-07-27,Europe,5.74
4,Angola,22662,1078,6573,15011,-11.2027,17.8739,2020-07-27,Africa,4.76
5,Antigua and Barbuda,4487,326,2600,1561,17.0608,-61.7964,2020-07-27,Americas,7.27
6,Argentina,4450658,97749,1680024,2672885,-38.4161,-63.6167,2020-07-27,Americas,2.2
7,Armenia,1587173,27089,857482,702602,40.0691,45.0382,2020-07-27,Europe,1.71
8,Australia,960247,11387,711928,236932,-33.8688,151.2093,2020-07-27,Western Pacific,1.19
9,Austria,2034986,71390,1638380,325216,47.5162,14.5501,2020-07-27,Europe,3.51
10,Azerbaijan,1134717,14282,703402,417033,40.1431,47.5769,2020-07-27,Europe,1.26
11,Bahamas,12100,1203,6047,4850,25.025885,-78.035889,2020-07-27,Americas,9.94
12,Bahrain,1755206,5115,1334787,415304,26.0275,50.55,2020-07-27,Eastern Mediterranean,0.29
13,Bangladesh,8754729,115633,3714702,4924394,23.685,90.3563,2020-07-27,South-East Asia,1.32
14,Barbados,10652,738,7444,2470,13.1939,-59.5432,2020-07-27,Americas,6.93
15,Belarus,4426759,28391,2771925,1626443,53.7098,27.9534,2020-07-27,Europe,0.64
16,Belgium,6281116,963679,1627492,3689945,50.8333,4.469936,2020-07-27,Europe,15.34
17,Belize,2636,222,1618,796,17.1899,-88.4976,2020-07-27,Americas,8.42
18,Benin,64406,1095,25911,37400,9.3077,2.3158,2020-07-27,Africa,1.7
19,Bhutan,4971,0,2838,2133,27.5142,90.4336,2020-07-27,South-East Asia,0.0
20,Bolivia,2170351,78032,571653,1520666,-16.2902,-63.5887,2020-07-27,Americas,3.6
21,Bosnia and Herzegovina,396634,16373,207156,173105,43.9159,17.6791,2020-07-27,Europe,4.13
22,Botswana,15306,120,2291,12895,-22.3285,24.6849,2020-07-27,Africa,0.78
23,Brazil,89524967,3938034,54492873,31094060,-14.235,-51.9253,2020-07-27,Americas,4.4
24,Brunei,18168,226,15262,2680,4.5353,114.7277,2020-07-27,Western Pacific,1.24
25,Bulgaria,410722,17654,182621,210447,42.7339,25.4858,2020-07-27,Europe,4.3
26,Burkina Faso,96153,5583,74876,15694,12.2383,-1.5616,2020-07-27,Africa,5.81
27,Burma,25188,639,15476,9073,21.9162,95.956,2020-07-27,South-East Asia,2.54
28,Burundi,11351,106,7361,3884,-3.3731,29.9189,2020-07-27,Africa,0.93
29,Cabo Verde,82732,854,38253,43625,16.5388,-23.0418,2020-07-27,Africa,1.03
30,Cambodia,17079,0,13917,3162,11.55,104.9167,2020-07-27,Western Pacific,0.0
31,Cameroon,844817,22354,588941,233522,3.848,11.5021,2020-07-27,Africa,2.65
32,Canada,9356551,699566,0,8656985,51.2538,-85.3232,2020-07-27,Americas,7.48
33,Central African Republic,198659,2010,43318,153331,6.6111,20.9394,2020-07-27,Africa,1.01
34,Chad,64226,5523,48059,10644,15.4542,18.7322,2020-07-27,Africa,8.6
35,Chile,16935654,322480,13292593,3320581,-35.6751,-71.543,2020-07-27,Americas,1.9
36,China,14132002,672413,11466866,1992723,31.8257,117.2264,2020-07-27,Western Pacific,4.76
37,Colombia,6893122,236525,2823811,3832786,4.5709,-74.2973,2020-07-27,Americas,3.43
38,Comoros,15823,337,11473,4013,-11.6455,43.3333,2020-07-27,Africa,2.13
39,Congo (Brazzaville),101609,2696,29132,69781,-0.228,15.8277,2020-07-27,Africa,2.65
40,Congo (Kinshasa),427604,10888,135073,281643,-4.0383,21.7587,2020-07-27,Africa,2.55
41,Costa Rica,347151,2037,116642,228472,9.7489,-83.7534,2020-07-27,Americas,0.59
42,Cote d'Ivoire,611062,4717,309368,296977,7.54,-5.5471,2020-07-27,Africa,0.77
43,Croatia,299218,10372,213360,75486,45.1,15.2,2020-07-27,Europe,3.47
44,Cuba,216346,8145,170780,37421,21.521757,-77.78116700000002,2020-07-27,Americas,3.76
45,Cyprus,107176,1962,65254,39960,35.1264,33.4299,2020-07-27,Europe,1.83
46,Czechia,1146758,33364,651140,462254,49.8175,15.473,2020-07-27,Europe,2.91
47,Denmark,1305978,60602,1057021,188355,56.2639,9.5018,2020-07-27,Europe,4.64
48,Djibouti,336216,3011,255143,78062,11.8251,42.5903,2020-07-27,Eastern Mediterranean,0.9
49,Dominica,2059,0,1659,400,15.415,-61.371,2020-07-27,Americas,0.0
50,Dominican Republic,2495433,61786,1211513,1222134,18.7357,-70.1627,2020-07-27,Americas,2.48
51,Ecuador,4678496,346618,1772210,2559668,-1.8312,-78.1834,2020-07-27,Americas,7.41
52,Egypt,4142819,186936,1197283,2758600,26.820553000000004,30.802498,2020-07-27,Eastern Mediterranean,4.51
53,El Salvador,453036,11429,240972,200635,13.7942,-88.8965,2020-07-27,Americas,2.52
54,Equatorial Guinea,153258,2246,35352,115660,1.6508,10.2679,2020-07-27,Africa,1.47
55,Eritrea,11786,0,5724,6062,15.1794,39.7823,2020-07-27,Africa,0.0
56,Estonia,216505,6826,137224,72455,58.5953,25.0136,2020-07-27,Europe,3.15
57,Eswatini,63160,763,30185,32212,-26.5225,31.4659,2020-07-27,Africa,1.21
58,Ethiopia,357928,5887,121793,230248,9.145,40.4897,2020-07-27,Africa,1.64
